#! FIELDS time doxyCoxyC restraint.bias
 0.000000 0.901229 0.022642
 0.003000 0.902150 0.069346
 0.006000 0.902536 0.096451
 0.009000 0.902153 0.069513
 0.012000 0.901311 0.025782
 0.015000 0.900573 0.004930
 0.018000 0.900390 0.002277
 0.021000 0.900550 0.004543
 0.024000 0.900446 0.002987
 0.027000 0.899516 0.003511
 0.030000 0.897934 0.064015
 0.033000 0.896300 0.205312
 0.036000 0.895614 0.288590
 0.039000 0.896232 0.212970
 0.042000 0.897576 0.088162
 0.045000 0.898631 0.028108
 0.048000 0.898581 0.030191
 0.051000 0.897586 0.087434
 0.054000 0.896774 0.156153
 0.057000 0.896789 0.154663
 0.060000 0.897696 0.079602
 0.063000 0.898767 0.022803
 0.066000 0.899386 0.005657
 0.069000 0.899368 0.005991
 0.072000 0.899084 0.012593
 0.075000 0.899175 0.010198
 0.078000 0.899994 0.000001
 0.081000 0.901460 0.031990
 0.084000 0.902912 0.127156
 0.087000 0.904093 0.251233
 0.090000 0.904896 0.359558
 0.093000 0.905612 0.472384
 0.096000 0.906736 0.680526
 0.099000 0.908687 1.131917
